source_text,translated_text,context
Select Type,Chọn loại,
Set As Default,Đặt làm mặc định,
Show Less,Ẩn bớt,
Unlink,Bỏ liên kết,
Unlink All,Bỏ liên kết tất cả,
Untitled,Không có tiêu đề,
Update Account,Cập nhật tài khoản,
{0} (Invalid time format),{0} (Định dạng thời gian không hợp lệ),
{0} assigned a {1} {2} to you,{0} đã giao {1} {2} cho bạn,
{0} attendees,{0} người tham dự,
{0} awaiting,{0} đang chờ,
{0} hrs,{0} giờ,
{0} is an invalid email address,{0} là địa chỉ email không hợp lệ,
{0} is an Invalid value,{0} là giá trị không hợp lệ,
{0} is an Invalid Value,{0} là giá trị không hợp lệ,
{0} maybe,{0} có thể,
{0} mins,{0} phút,
{0} no,{0} không,
{0} yes,{0} có,
"@John, can you please check this?","@John, bạn có thể kiểm tra cái này không?",
%John%,%John%,
<b>META</b>,<b>META</b>,
<b>SHORTCUTS</b>,<b>PHÍM TẮT</b>,
"<p>Dear {{ lead_name }},</p>\
\
<p>This is a reminder for the payment of {{ grand_total }}.</p>\
\
<p>Thanks,</p>\
<p>Frappé</p>","<p>Kính gửi {{ lead_name }},</p>\
\
<p>Đây là lời nhắc thanh toán cho {{ grand_total }}.</p>\
\
<p>Trân trọng,</p>\
<p>Frappé</p>",
"<span class=""h5""><b>PORTAL</b></span>","<span class=""h5""><b>CỔNG THÔNG TIN</b></span>",
"⚠️ Avoid using ""trigger"" as a field name — it conflicts with the built-in trigger() method.","⚠️ Tránh dùng ""trigger"" làm tên trường — nó xung đột với phương thức trigger() có sẵn.",
"⚠️ Method ""{0}"" not found in class.","⚠️ Không tìm thấy phương thức ""{0}"" trong class.",
"⚠️ No class found for doctype: {0}, it is mandatory to have a class for the parent doctype. it can be empty, but it should be present.","⚠️ Không tìm thấy class cho doctype: {0}, bắt buộc phải có một class cho doctype cha. Class này có thể trống nhưng phải tồn tại.",
⚠️ No data found for parent field: {0},⚠️ Không tìm thấy dữ liệu cho trường cha: {0},
⚠️ No row found for idx: {0} in parent field: {1},⚠️ Không tìm thấy hàng cho idx: {0} trong trường cha: {1},
01/01/2022 to 01/31/2022,01/01/2022 đến 01/31/2022,
01/04/2024 11:30 PM,01/04/2024 11:30 CH,
08:00 AM,08:00 SA,
08:00 pm,08:00 CH,
A lead sync source is already enabled for this Facebook Lead Form!,Một nguồn đồng bộ lead đã được bật cho biểu mẫu Lead Facebook này!,
A valid call log is required.,Cần một nhật ký cuộc gọi hợp lệ.,
Access token is required,Cần access token,
Account Info & Security,Thông tin & Bảo mật tài khoản,
Account name is required,Cần tên tài khoản,
Account SID,Account SID,
Add a Condition,Thêm điều kiện,
Add a Custom Condition,Thêm điều kiện tuỳ chỉnh,
Add a name for your source,Thêm tên cho nguồn của bạn,
Add a Task,Thêm công việc,
Add Condition Group,Thêm nhóm điều kiện,
Add existing system users to this CRM. Assign them a role to grant access with their current credentials.,Thêm người dùng hệ thống hiện có vào CRM này. Gán vai trò để cấp quyền truy cập bằng thông tin xác thực hiện tại của họ.,
Add Existing User,Thêm người dùng hiện có,
Add Lead or Deal,Thêm Lead hoặc Deal,
Add Location,Thêm địa điểm,
Add Organization...,Thêm tổ chức...,
Add Sample Data,Thêm dữ liệu mẫu,
Add Section,Thêm phần,
Add svg code or use feather icons e.g 'settings',"Thêm mã svg hoặc dùng biểu tượng feather, ví dụ 'settings'",
Add Tab,Thêm tab,
Add time targets around support milestones like first response,Thêm mục tiêu thời gian cho các cột mốc hỗ trợ như phản hồi đầu tiên,
Add your first comment,Thêm bình luận đầu tiên của bạn,
"Add, edit, and manage email templates for various CRM communications","Thêm, sửa và quản lý mẫu email cho các giao tiếp CRM khác nhau",
"Add, edit, and manage sources for automatic lead syncing to your CRM","Thêm, sửa và quản lý nguồn để đồng bộ lead tự động vào CRM của bạn",
added a,đã thêm,
"Agent is unavailable to take the call, please call after some time.","Tổng đài viên hiện không thể nhận cuộc gọi, vui lòng gọi lại sau.",
All available priorities have already been added,Tất cả các mức ưu tiên khả dụng đã được thêm,
All Day Event Notifications,Thông báo sự kiện cả ngày,
amber,hổ phách,
Amount after discount,Số tiền sau chiết khấu,
An error occurred while updating the document,Đã xảy ra lỗi khi cập nhật tài liệu,
An image with 1:1 & 2:1 ratio is preferred,Nên dùng hình ảnh có tỷ lệ 1:1 hoặc 2:1,
And,Và,
Annual Revenue should be a number,Doanh thu hàng năm phải là một số,
Any failed lead syncs will show up here,Các đồng bộ lead bị lỗi sẽ hiển thị tại đây,
API key is required,Cần API key,
Appearance,Giao diện,
Appears in the left sidebar. Recommended size is 32x32 px in PNG or SVG,Hiển thị ở thanh bên trái. Kích thước khuyến nghị 32x32 px định dạng PNG hoặc SVG,
Appears next to the title in your browser tab. Recommended size is 32x32 px in PNG or ICO,Hiển thị bên cạnh tiêu đề trên tab trình duyệt. Kích thước khuyến nghị 32x32 px định dạng PNG hoặc ICO,
Are you sure you want to clear demo data? This action cannot be undone.,Bạn có chắc muốn xoá dữ liệu demo? Hành động này không thể hoàn tác.,
Are you sure you want to delete {0} linked item(s)?,Bạn có chắc muốn xoá {0} mục đã liên kết?,
Are you sure you want to delete this attachment?,Bạn có chắc muốn xoá tệp đính kèm này?,
Are you sure you want to delete this contact?,Bạn có chắc muốn xoá liên hệ này?,
Are you sure you want to delete this event?,Bạn có chắc muốn xoá sự kiện này?,
Are you sure you want to delete this organization?,Bạn có chắc muốn xoá tổ chức này?,
Are you sure you want to delete this task?,Bạn có chắc muốn xoá công việc này?,
Are you sure you want to discard unsaved changes to this event?,Bạn có chắc muốn huỷ các thay đổi chưa lưu của sự kiện này?,
Are you sure you want to go back? Unsaved changes will be lost.,Bạn có chắc muốn quay lại? Các thay đổi chưa lưu sẽ bị mất.,
Are you sure you want to reset 'Create Quotation from CRM Deal' Form Script?,Bạn có chắc muốn đặt lại Form Script 'Tạo báo giá từ CRM Deal'?,
Are you sure you want to set the currency as {0}? This cannot be changed later.,Bạn có chắc muốn đặt tiền tệ là {0}? Sau này không thể thay đổi.,
Are you sure you want to unlink {0} linked item(s)?,Bạn có chắc muốn bỏ liên kết {0} mục đã liên kết?,
"Ask your manager to set up the Exchange Rate Provider, as default provider does not support currency conversion for {0} to {1}.",Vui lòng nhờ quản lý thiết lập nhà cung cấp tỷ giá vì nhà cung cấp mặc định không hỗ trợ chuyển đổi tiền tệ từ {0} sang {1}.,
Assign Condition is required,Cần điều kiện phân công,
Assign Conditions are invalid,Điều kiện phân công không hợp lệ,
Assign To Me,Giao cho tôi,
assigned a {0} {1} to you,đã giao {0} {1} cho bạn,
assigned a new task {0} to you,đã giao công việc mới {0} cho bạn,
Assignment Cleared Successfully,Đã xoá phân công thành công,
Assignment Condition,Điều kiện phân công,
Assignment conditions,Điều kiện phân công,
"Assignment conditions are invalid or corrupt, recreate the conditions.","Điều kiện phân công không hợp lệ hoặc bị hỏng, hãy tạo lại điều kiện.",
Assignment Days are required,Cần ngày phân công,
Assignment Rule {0} Updated,Đã cập nhật quy tắc phân công {0},
Assignment Rule Created,Đã tạo quy tắc phân công,
Assignment Rule Deleted,Đã xoá quy tắc phân công,
Assignment Rule Duplicated,Đã sao chép quy tắc phân công,
Assignment Rule Updated,Đã cập nhật quy tắc phân công,
At least one field is required,Cần ít nhất một trường,
At least one priority is required,Cần ít nhất một mức ưu tiên,
"At least one valid Workday with Workday, Start Time, and End Time is required","Cần ít nhất một ngày làm việc hợp lệ với đầy đủ ngày làm việc, giờ bắt đầu và giờ kết thúc",
Attach a File,Đính kèm tệp,
Attending status updated,Đã cập nhật trạng thái tham dự,
Auth Token,Mã xác thực,
Auto update Expected Deal Value,Tự động cập nhật giá trị Deal dự kiến,
Auto Update Expected Deal Value,Tự động cập nhật giá trị Deal dự kiến,
Auto-assign leads/deals to the right sales user based on predefined conditions,Tự động phân công lead/deal cho nhân viên kinh doanh phù hợp dựa trên các điều kiện đã định trước,
Auto-generated from the portal view — do not edit directly unless you know what you're doing!,Được tạo tự động từ giao diện cổng thông tin — không sửa trực tiếp trừ khi bạn biết mình đang làm gì!,
Automatically sets Communication Status to “Open” for the lead or deal when a new communication is created. Applies only when SLA is enabled,"Tự động đặt trạng thái liên lạc thành ""Mở"" cho lead hoặc deal khi có liên lạc mới được tạo. Chỉ áp dụng khi SLA được bật",
Automatically sets Communication Status to “Replied” for the lead or deal when a response is received. Applies only when SLA is enabled,"Tự động đặt trạng thái liên lạc thành ""Đã trả lời"" cho lead hoặc deal khi nhận được phản hồi. Chỉ áp dụng khi SLA được bật",
"Automatically update ""Expected Deal Value"" based on the total value of associated products in a deal","Tự động cập nhật ""Giá trị Deal dự kiến"" dựa trên tổng giá trị các sản phẩm liên quan trong deal",
Automation & Rules,Tự động hoá & Quy tắc,
Average deal value of non won/lost deals,Giá trị deal trung bình của các deal chưa thắng/thua,
Average deal value of ongoing & won deals,Giá trị deal trung bình của các deal đang diễn ra & đã thắng,
Average deal value of won deals,Giá trị deal trung bình của các deal đã thắng,
Average time taken from deal creation to deal closure,Thời gian trung bình từ khi tạo deal đến khi đóng deal,
Average time taken from lead creation to deal closure,Thời gian trung bình từ khi tạo lead đến khi đóng deal,
Avg Deal Value,Giá trị Deal trung bình,
Avg Ongoing Deal Value,Giá trị Deal đang diễn ra trung bình,
Avg Time to Close a Deal,Thời gian trung bình để đóng Deal,
Avg Time to Close a Lead,Thời gian trung bình để đóng Lead,
Avg Won Deal Value,Giá trị Deal thắng trung bình,
Avg. deal value,Giá trị deal TB,
Avg. ongoing deal value,Giá trị deal đang diễn ra TB,
Avg. time to close a deal,Thời gian đóng deal TB,
Avg. time to close a lead,Thời gian đóng lead TB,
Avg. won deal value,Giá trị deal thắng TB,
Axis Chart,Biểu đồ trục,
Back to All Logs,Quay lại tất cả nhật ký,
Back to File Upload,Quay lại tải tệp lên,
Background Sync Frequency,Tần suất đồng bộ nền,
Backlog,Tồn đọng,
before at,trước lúc,
black,đen,
Brand Settings,Cài đặt thương hiệu,
Branding,Thương hiệu,
Calendar Settings,Cài đặt lịch,
Call log not found,Không tìm thấy nhật ký cuộc gọi,
Call using {0},Gọi bằng {0},
Call with John Doe,Gọi với John Doe,
Caller,Người gọi,
Calling Medium,Phương tiện gọi,
Calling...,Đang gọi...,
Can't retry sync for this without source!,Không thể thử đồng bộ lại nếu không có nguồn!,
Cannot assign this role,Không thể gán vai trò này,
Cannot change role of user with Admin access,Không thể thay đổi vai trò của người dùng có quyền Admin,
Cannot delete standard items {0},Không thể xoá các mục chuẩn {0},
Cannot enable rule without adding users in it,Không thể bật quy tắc khi chưa thêm người dùng vào đó,
Cannot invite for this role,Không thể mời cho vai trò này,
Capturing Leads,Đang thu thập lead,
Change deal status,Thay đổi trạng thái deal,
Change Photo,Đổi ảnh,
Change Status,Thay đổi trạng thái,
changes from,thay đổi từ,
Choose Existing,Chọn cái có sẵn,
Choose Existing Contact,Chọn liên hệ có sẵn,
Choose Existing Organization,Chọn tổ chức có sẵn,
Choose how {0} are assigned among salespeople.,Chọn cách phân công {0} cho nhân viên kinh doanh.,
Choose how you want to use the application by setting your preferences.,Chọn cách bạn muốn dùng ứng dụng bằng cách thiết lập tuỳ chọn của bạn.,
Choose the Email Service Provider you want to configure.,Chọn nhà cung cấp dịch vụ email mà bạn muốn cấu hình.,
Choose which {0} are affected by this un-assignment rule.,Chọn {0} nào sẽ bị ảnh hưởng bởi quy tắc huỷ phân công này.,
Choose which leads/deals are affected by this policy.,Chọn lead/deal nào sẽ bị ảnh hưởng bởi chính sách này.,
Clear All Filters,Xoá tất cả bộ lọc,
Close Panel,Đóng panel,
Closed Date,Ngày đóng,
Column Field,Trường cột,
Common reasons for losing deals,Các lý do phổ biến khiến mất deal,
Communication Status,Trạng thái giao tiếp,
Communication Statuses,Các trạng thái giao tiếp,
Company in ERPNext site,Công ty trên trang ERPNext,
Conditions for this rule were created from,Các điều kiện cho quy tắc này được tạo từ,
Configure,Cấu hình,
Configure actions that appear on the home dropdown,Cấu hình các hành động hiển thị trên dropdown trang chủ,
Configure general settings for your application,Cấu hình cài đặt chung cho ứng dụng của bạn,
Configure Telephony Settings for your CRM,Cấu hình cài đặt điện thoại cho CRM của bạn,
Configure the Exchange Rate Provider for your CRM,Cấu hình nhà cung cấp tỷ giá cho CRM của bạn,
"Configure your Brand Name, Logo, and Favicon","Cấu hình tên thương hiệu, logo và favicon của bạn",
Configure your Calendar Settings like Default View and Event Notifications here,Cấu hình cài đặt lịch như chế độ xem mặc định và thông báo sự kiện tại đây,
Configure your Exotel Telephony Integration Settings here,Cấu hình cài đặt tích hợp điện thoại Exotel của bạn tại đây,
Configure your Twilio Telephony Integration Settings here,Cấu hình cài đặt tích hợp điện thoại Twilio của bạn tại đây,
Confirm Overwrite,Xác nhận ghi đè,
Connect your Email,Kết nối email của bạn,
Contact Added,Đã thêm liên hệ,
Contact Already Added,Liên hệ đã được thêm,
Contact Already Exists,Liên hệ đã tồn tại,
Contact already exists with {0},Liên hệ đã tồn tại với {0},
Contact image updated,Đã cập nhật ảnh liên hệ,
Contact Image Updated,Đã cập nhật ảnh liên hệ,
Contact Removed,Đã xoá liên hệ,
Contact Support,Liên hệ hỗ trợ,
Contact Updated,Đã cập nhật liên hệ,
Content is required,Cần nhập nội dung,
Convert,Chuyển đổi,
Convert lead to deal,Chuyển khách hàng tiềm năng thành deal,
Convert to Deal,Chuyển thành deal,
Converted Successfully,Đã chuyển đổi thành công,
converted the lead to this deal,đã chuyển lead thành deal này,
Copied to Clipboard,Đã sao chép vào bộ nhớ tạm,
Create an Event,Tạo sự kiện,
Create customer on status change,Tạo khách hàng khi thay đổi trạng thái,
Create Event,Tạo sự kiện,
Create Lead from Incoming Emails,Tạo lead từ email đến,
Create New Holiday List,Tạo danh sách ngày lễ mới,
Create Note,Tạo ghi chú,
Create your first lead,Tạo lead đầu tiên của bạn,
Create your first note,Tạo ghi chú đầu tiên của bạn,
Create your first task,Tạo công việc đầu tiên của bạn,
created this deal,đã tạo deal này,
created this lead,đã tạo lead này,
CRM Call Log,Nhật ký cuộc gọi CRM,
CRM Communication Status,Trạng thái giao tiếp CRM,
CRM Contacts,Danh bạ CRM,
CRM Dashboard,Bảng điều khiển CRM,
CRM Deal,CRM Deal,
CRM Deal Status,Trạng thái Deal CRM,
CRM Dropdown Item,Mục dropdown CRM,
CRM Exotel Settings,Cài đặt CRM Exotel,
CRM Fields Layout,Bố cục trường CRM,
CRM Form Script,Form Script CRM,
CRM Global Settings,Cài đặt toàn cục CRM,
CRM Holiday,Ngày lễ CRM,
CRM Holiday List,Danh sách ngày lễ CRM,
CRM Industry,Ngành CRM,
CRM Invitation,Lời mời CRM,
CRM Lead,CRM Lead,
CRM Lead Source,Nguồn Lead CRM,
CRM Lead Status,Trạng thái Lead CRM,
CRM Lost Reason,Lý do mất Lead CRM,
CRM Notification,Thông báo CRM,
CRM Organization,Tổ chức CRM,
CRM Portal Page,Trang cổng thông tin CRM,
CRM Product,Sản phẩm CRM,
CRM Products,Các sản phẩm CRM,
CRM Rolling Response Time,Thời gian phản hồi cuộn CRM,
CRM Service Day,Ngày dịch vụ CRM,
CRM Service Level Agreement,Thoả thuận mức dịch vụ CRM,
CRM Service Level Priority,Mức ưu tiên dịch vụ CRM,
CRM Status Change Log,Nhật ký thay đổi trạng thái CRM,
CRM Task,Công việc CRM,
CRM Telephony Agent,Tổng đài viên CRM,
CRM Telephony Phone,Điện thoại CRM,
CRM Territory,Khu vực CRM,
CRM Twilio Settings,Cài đặt CRM Twilio,
CRM View Settings,Cài đặt chế độ xem CRM,
Currency set as {0} successfully,Đã đặt tiền tệ thành {0} thành công,
Current pipeline distribution,Phân bổ pipeline hiện tại,
Custom Branding,Thương hiệu tuỳ chỉnh,
Custom Fields,Trường tuỳ chỉnh,
Custom Statuses,Trạng thái tuỳ chỉnh,
Customer Created Successfully,Đã tạo khách hàng thành công,
"Daily performance of leads, deals, and wins","Hiệu suất hằng ngày của lead, deal và thắng lợi",
"Dashboard number cards & charts will show currency in the selected format. Once set, cannot be edited.",Các thẻ số liệu và biểu đồ trên dashboard sẽ hiển thị tiền tệ theo định dạng đã chọn. Sau khi đặt thì không thể chỉnh sửa.,
Data Fields,Trường dữ liệu,
Date & Time,Ngày & giờ,
day,ngày,
day before,ngày trước,
days,ngày,
days before,ngày trước,
Deal generation channel analysis,Phân tích kênh tạo deal,
Deal Statuses,Trạng thái Deal,
Deal Value,Giá trị Deal,
deals,deal,
Deals,Deal,
Deals by ongoing & won stage,Deal theo giai đoạn đang diễn ra & đã thắng,
Deals by Ongoing & Won Stage,Deal theo giai đoạn đang diễn ra & đã thắng,
Deals by salesperson,Deal theo nhân viên kinh doanh,
Deals by Salesperson,Deal theo nhân viên kinh doanh,
Deals by source,Deal theo nguồn,
Deals by Source,Deal theo nguồn,
Deals by stage,Deal theo giai đoạn,
Deals by Stage,Deal theo giai đoạn,
Deals by territory,Deal theo khu vực,
Deals by Territory,Deal theo khu vực,
"Dear {{ lead_name }}, \
\
This is a reminder for the payment of {{ grand_total }}. \
\
Thanks, \
Frappé","Kính gửi {{ lead_name }}, \
\
Đây là lời nhắc thanh toán cho {{ grand_total }}. \
\
Trân trọng, \
Frappé",
Declined,Đã từ chối,
Default Calendar View,Chế độ xem Lịch mặc định,
Default Calling Medium for Logged In User,Phương tiện gọi mặc định cho người dùng đã đăng nhập,
Default calling medium set successfully to {0},Đã đặt phương tiện gọi mặc định thành {0} thành công,
Default Event Notifications,Thông báo sự kiện mặc định,
Default Medium,Phương tiện mặc định,
Default Sending & Inbox,Gửi & hộp thư đến mặc định,
Default Service Level Agreement already exists for {0},Thoả thuận mức dịch vụ mặc định đã tồn tại cho {0},
"Default statuses, custom fields and layouts restored successfully.","Đã khôi phục thành công trạng thái mặc định, trường tuỳ chỉnh và bố cục.",
Delete {0} Item(s),Xoá {0} mục,
Delete {0} items,Xoá {0} mục,
Delete & Restore,Xoá & khôi phục,
Delete Contact,Xoá liên hệ,
Delete Event,Xoá sự kiện,
Delete Invitation,Xoá lời mời,
Delete Linked Item,Xoá mục đã liên kết,
Delete or unlink linked documents,Xoá hoặc bỏ liên kết các tài liệu đã liên kết,
Delete or unlink these linked documents before deleting this document,Xoá hoặc bỏ liên kết các tài liệu đã liên kết này trước khi xoá tài liệu này,
Delete Organization,Xoá tổ chức,
Deleting note...,Đang xoá ghi chú...,
Demo data restored successfully.,Đã khôi phục dữ liệu demo thành công.,
Description is required,Cần nhập mô tả,
desk,bàn làm việc,
Device,Thiết bị,
Discard Changes,Huỷ thay đổi,
Discard Unsaved Changes?,Huỷ các thay đổi chưa lưu?,
Discount %,Chiết khấu %,
Doctype is required,Cần nhập loại tài liệu,
Document created successfully,Đã tạo tài liệu thành công,
Document does not exist,Tài liệu không tồn tại,
Document not found,Không tìm thấy tài liệu,
Document Not Found,Không tìm thấy tài liệu,
Document updated successfully,Đã cập nhật tài liệu thành công,
Donut Chart,Biểu đồ donut,
Drag & Drop files here or upload from,Kéo & thả tệp vào đây hoặc tải lên từ,
Dropdown items,Mục dropdown,
Duplicate an Event,Sao chép sự kiện,
Duplicate Event,Sao chép sự kiện,
Duplicate Template,Sao chép mẫu,
Duplicate View,Sao chép chế độ xem,
Duplicate Workday found: {0}. Each Workday should be unique.,Trùng lặp ngày làm việc: {0}. Mỗi ngày làm việc phải là duy nhất.,
Edit an Event,Sửa sự kiện,
Edit Data Fields Layout,Sửa bố cục trường dữ liệu,
Edit Event,Sửa sự kiện,
Edit Field Layout,Sửa bố cục trường,
Edit Fields Layout,Sửa bố cục trường,
Edit Grid Fields,Sửa trường lưới,
Edit Grid Fields Layout,Sửa bố cục trường lưới,
Edit Grid Row Fields Layout,Sửa bố cục trường hàng lưới,
Edit Quick Entry Layout,Sửa bố cục nhập nhanh,
Edit Response & Resolution,Sửa phản hồi & giải quyết,
Edit Row,Sửa hàng,
Edit Workday,Sửa ngày làm việc,
Editing Event,Đang sửa sự kiện,
Editing Row {0},Đang sửa hàng {0},
Email Account created successfully,Đã tạo tài khoản Email thành công,
Email Account updated successfully,Đã cập nhật tài khoản Email thành công,
Email Accounts,Tài khoản email,
Email already exists,Email đã tồn tại,
Email Already Exists,Email đã tồn tại,
Email Communication,Liên lạc qua email,
Email From Lead,Email từ Lead,
Email ID is required,Cần nhập Email ID,
Email settings updated successfully,Đã cập nhật cài đặt Email thành công,
Emails & Signature,Email & chữ ký,
Empty - Choose a field to filter by,Trống — Chọn trường để lọc theo,
Empty - Choose a field to sort by,Trống — Chọn trường để sắp xếp theo,
Enable call recording for incoming and outgoing calls,Bật ghi âm cho cuộc gọi đến và đi,
Enable Exotel integration to make and receive calls directly from your CRM,Bật tích hợp Exotel để gọi và nhận cuộc gọi trực tiếp từ CRM của bạn,
Enable Forecasting,Bật dự báo,
Enable Twilio integration to make and receive calls directly from your CRM,Bật tích hợp Twilio để gọi và nhận cuộc gọi trực tiếp từ CRM của bạn,
Enabled?,Đã bật?,
End Date cannot be before start date,Ngày kết thúc không thể trước ngày bắt đầu,
End Time is required,Cần nhập giờ kết thúc,
End Time must be after Start Time,Giờ kết thúc phải sau giờ bắt đầu,
End Time must be after Start Time for: {0},Giờ kết thúc phải sau giờ bắt đầu cho: {0},
End Time Should Be After Start Time,Giờ kết thúc phải sau giờ bắt đầu,
Enter Access Key,Nhập khoá truy cập,
Enter Access Token,Nhập Access Token,
Enter Brand Name,Nhập tên thương hiệu,
Enter Exotel Number,Nhập số Exotel,
Enter Personal Mobile No.,Nhập số di động cá nhân,
Enter Source Name,Nhập tên nguồn,
Enter Twilio Number,Nhập số Twilio,
Enter your Facebook Access Token,Nhập Facebook Access Token của bạn,
Enter your personal mobile number used by Exotel to make calls,Nhập số di động cá nhân được Exotel sử dụng để gọi,
ERPNext CRM Settings,Cài đặt ERPNext CRM,
ERPNext is not installed in the current site,ERPNext chưa được cài đặt trên site hiện tại,
ERPNext is not integrated with the CRM,ERPNext chưa được tích hợp với CRM,
ERPNext Site API's,API site ERPNext,
ERPNext Site URL,URL site ERPNext,
Error converting to deal: {0},Lỗi chuyển thành deal: {0},
Error creating Lead Sync Source,Lỗi tạo nguồn đồng bộ Lead,
Error creating lead: {0},Lỗi tạo lead: {0},
Error Syncing Lead,Lỗi đồng bộ Lead,
Error syncing leads,Lỗi đồng bộ lead,
Error updating field,Lỗi cập nhật trường,
Error updating Lead Sync Source,Lỗi cập nhật nguồn đồng bộ Lead,
Event created successfully,Đã tạo sự kiện thành công,
Event deleted successfully,Đã xoá sự kiện thành công,
Event ID is required,ID sự kiện là bắt buộc,
Event Title,Tiêu đề sự kiện,
Every 10 Minutes,Mỗi 10 phút,
Every 15 Minutes,Mỗi 15 phút,
Every 5 Minutes,Mỗi 5 phút,
Exchange Rate Provider,Nhà cung cấp tỷ giá,
exchangerate-api,exchangerate-api,
Exotel,Exotel,
Exotel Exception,Lỗi Exotel,
Exotel Integration Disabled,Tích hợp Exotel đã bị tắt,
Exotel Number,Số Exotel,
Exotel Number {0} is not valid,Số Exotel {0} không hợp lệ,
Exotel Number Missing,Thiếu số Exotel,
Exotel Settings,Cài đặt Exotel,
Expected Closure Date,Ngày đóng dự kiến,
Expected closure date is required.,Ngày đóng dự kiến là bắt buộc.,
Expected Deal Value,Giá trị Deal dự kiến,
Expected deal value is required.,Giá trị Deal dự kiến là bắt buộc.,
Export all {0} record(s),Xuất tất cả {0} bản ghi,
Facebook Form ID,ID biểu mẫu Facebook,
Facebook Lead Form,Biểu mẫu Lead Facebook,
Facebook Lead Form Question,Câu hỏi biểu mẫu Lead Facebook,
Facebook Lead ID,ID Lead Facebook,
Facebook Page,Trang Facebook,
Failed Lead Sync Log,Nhật ký đồng bộ Lead thất bại,
Failed to add reaction to the message,Không thể thêm phản ứng vào tin nhắn,
Failed to Add Users,Không thể thêm người dùng,
Failed to capture Twilio recording,Không thể thu âm cuộc gọi Twilio,
"Failed to create Email Account, Invalid credentials","Không thể tạo Tài khoản Email, thông tin xác thực không hợp lệ",
Failed to create template,Không thể tạo mẫu,
Failed to delete lead sync source,Không thể xoá nguồn đồng bộ Lead,
Failed to delete note,Không thể xoá ghi chú,
Failed to delete template,Không thể xoá mẫu,
